AGS;Name;Wahlberechtigte;Wähler;Ungültige;Gültige;CDU;SPD;AfD;FDP;DIE LINKE;GRÜNE;CSU;FREIE WÄHLER;Die PARTEI;Tierschutzpartei;NPD;PIRATEN;ÖDP;V-Partei³;DiB;BP;Tierschutzallianz;MLPD;Gesundheitsforschung;MENSCHLICHE WELT;DKP;Die Grauen;BüSo;Die Humanisten;Gartenpartei;du.;SGP;dieBasis;Bündnis C;BÜRGERBEWEGUNG;III. Weg;Bündnis21;LIEBE;LKR;PdF;LfK;SSW;Team Todenhöfer;UNABHÄNGIGE;Volt
9673;Rhön-Grabfeld;63253;51456;312;51144;0;8250;5144;4560;1482;4810;20068;3952;458;481;53;152;148;46;0;134;0;7;91;0;9;0;0;43;0;38;0;874;50;0;40;0;0;10;0;0;0;57;116;71
9674;Haßberge;67802;55942;336;55606;0;10443;6527;4637;1461;4910;19553;4388;452;597;76;201;356;52;0;184;0;6;89;0;10;0;0;46;0;34;0;1212;35;0;46;0;0;11;0;0;0;80;130;70
9675;Kitzingen;69209;56149;299;55850;0;10947;4930;5268;1518;6427;19668;3871;340;642;63;212;304;65;0;238;0;8;72;0;8;0;0;41;0;32;0;674;53;0;21;0;0;15;0;0;0;136;195;102
9676;Miltenberg;95316;76450;534;75916;0;15370;7043;7593;1773;8581;25010;5231;569;1036;69;237;417;88;0;185;0;21;134;0;9;0;0;46;0;57;0;1560;57;0;59;0;0;61;0;0;0;364;204;142
9677;Main-Spessart;99092;81683;532;81151;0;17401;6875;6558;1912;9225;29087;5265;588;1006;66;250;355;96;0;194;0;10;106;0;15;0;0;52;0;65;0;1335;72;0;57;0;0;35;0;0;0;164;182;180
9678;Schweinfurt;90680;75923;466;75457;0;13799;7672;7245;2129;7747;27753;4514;587;888;80;272;256;82;0;223;0;18;94;0;6;0;0;64;0;53;0;1332;46;0;43;0;0;16;0;0;0;146;254;138
9679;Würzburg;127320;108417;585;107832;0;22496;7651;10721;2859;15970;37112;4963;721;1284;92;367;618;117;0;216;0;12;142;0;17;0;0;122;0;76;0;1380;72;0;44;0;0;24;0;0;0;225;283;248
9761;Augsburg, Stadt;187164;137597;776;136821;0;26332;12120;15265;6532;27142;33772;5329;1574;1441;77;516;856;445;0;408;0;92;158;0;30;0;0;162;0;86;0;2795;102;0;52;0;0;34;0;0;0;712;227;562
9762;Kaufbeuren, Stadt;31503;22721;125;22596;0;4172;2497;2467;805;3106;6400;1292;193;266;22;188;127;39;0;90;0;4;28;0;5;0;0;21;0;15;0;565;36;0;17;0;0;1;0;0;0;141;51;48
9763;Kempten (Allgäu), Stadt;48382;35534;203;35331;0;6329;3403;4386;1312;5921;9101;2163;340;375;19;134;243;62;0;58;0;8;37;0;4;0;0;30;0;20;0;1014;33;0;16;0;0;8;0;0;0;160;53;102
